000000,FCU,NUTC,NCKU,NTPU,NKFUST,NSYSU,CGU,NPU,NTOU,NTHU,NCTU,NTNU,FJU,KUAS,NTU,NFU,PU,NTUB,SCU,NTUNHS,YZU,NCCU,NTUST,NCHU,CYCU,TMU,NKNU,TCPA,KMU,CSMU,TKU,CMU,NCUT,THU
000001,NTNU,NCUT,CGU,NCTU,CYCU,FCU,NCKU,KUAS,YZU,FJU,NCCU,KMU,TCPA,CSMU,NTUB,NTUNHS,NKFUST,SCU,NUTC,NTHU,NTOU,TMU,NFU,PU,NPU,TKU,NKNU,NTU,NCHU,NSYSU,THU,NTUST,CMU,NTPU
000002,NTUNHS,NCUT,NTNU,NTOU,SCU,PU,NSYSU,TKU,KUAS,NTUB,NKNU,NTU,CMU,NFU,TCPA,TMU,NCTU,NCKU,CSMU,FJU,NUTC,CGU,NPU,NCCU,CYCU,NTHU,NKFUST,NTPU,FCU,KMU,YZU,NCHU,THU,NTUST
000003,NTPU,NTHU,PU,NCTU,FCU,CSMU,NKFUST,NFU,NCCU,NCHU,TMU,NKNU,NTUB,SCU,NTUNHS,CMU,NSYSU,TKU,NTOU,KMU,NCKU,KUAS,NCUT,NPU,NTUST,CYCU,CGU,YZU,FJU,NUTC,NTU,THU,TCPA,NTNU
000004,NTU,CSMU,THU,SCU,NFU,NKNU,TMU,NTUB,CYCU,FCU,KMU,NCKU,NTPU,NCCU,PU,TKU,FJU,NUTC,NSYSU,NCTU,NTHU,CGU,NCHU,NCUT,TCPA,NTUST,NTUNHS,YZU,NTOU,CMU,NKFUST,NTNU,NPU,KUAS
000005,NUTC,NTPU,KUAS,NKNU,TCPA,CMU,NCTU,TKU,NTNU,NCUT,NFU,NCHU,KMU,CGU,FJU,NPU,PU,NTUST,YZU,NTU,NKFUST,NCKU,CYCU,FCU,NTUB,NTUNHS,THU,TMU,NTOU,CSMU,NCCU,SCU,NSYSU,NTHU
000006,NSYSU,TCPA,TMU,SCU,FCU,NCTU,NUTC,NTPU,NTUNHS,CMU,NTHU,NTNU,NCCU,NTUST,NKFUST,YZU,KUAS,CGU,TKU,NTOU,CYCU,THU,KMU,FJU,NPU,NCHU,NTU,NCUT,NCKU,NTUB,NFU,NKNU,CSMU,PU
000007,SCU,FCU,NFU,CYCU,TCPA,NTUST,KUAS,NCKU,NSYSU,NTU,NTUB,NKNU,FJU,TKU,CSMU,NTNU,YZU,NKFUST,NTUNHS,NPU,KMU,PU,NCHU,NTPU,NTOU,TMU,NUTC,CMU,THU,NCUT,NCCU,NCTU,NTHU,CGU
000008,NCKU,NCCU,TMU,NTUB,NTHU,FJU,NTPU,NCHU,KMU,PU,NFU,NSYSU,TCPA,CSMU,NCUT,SCU,THU,NTU,NPU,TKU,NUTC,YZU,NTOU,NKFUST,KUAS,NTUNHS,NTUST,CYCU,NKNU,NTNU,CGU,CMU,NCTU,FCU
000009,NCUT,NTNU,CYCU,NTPU,NTUNHS,PU,THU,TCPA,FCU,NKFUST,NCTU,NCCU,NFU,KUAS,TKU,NUTC,NCKU,NKNU,NSYSU,NTUST,NTHU,CMU,NTOU,NTUB,NTU,FJU,CSMU,TMU,NCHU,YZU,KMU,NPU,CGU,SCU
000010,KMU,NTPU,TKU,NPU,NCUT,NTUB,NCHU,THU,NTNU,NTOU,TCPA,FCU,PU,NTUST,CGU,NTU,NCCU,NCTU,NKFUST,CMU,NTUNHS,NKNU,NCKU,NFU,CSMU,TMU,KUAS,NTHU,SCU,FJU,CYCU,NSYSU,YZU,NUTC
000011,NKFUST,NUTC,TCPA,CYCU,NTU,NSYSU,CGU,KUAS,NCUT,THU,KMU,TKU,NCHU,NTUB,NTHU,NTPU,NCTU,CMU,NTUNHS,NTUST,NCKU,FJU,NTNU,PU,TMU,NCCU,FCU,YZU,NPU,CSMU,NTOU,SCU,NFU,NKNU
000012,NCUT,NSYSU,KMU,THU,NCKU,NCTU,NPU,NTUB,NKNU,NTUST,TCPA,TMU,NTU,CMU,NUTC,NCCU,NTUNHS,NTPU,CYCU,NTOU,FCU,NCHU,NFU,CGU,NTHU,YZU,CSMU,SCU,FJU,KUAS,NKFUST,PU,TKU,NTNU
000013,NCCU,NTUB,NCUT,NFU,NTNU,CSMU,KMU,TCPA,KUAS,FJU,NTUST,THU,NTPU,NUTC,NKNU,NTU,CYCU,FCU,NTHU,NCKU,CGU,NTOU,TKU,CMU,NCHU,NTUNHS,SCU,NSYSU,PU,NKFUST,TMU,NPU,NCTU,YZU
000014,FCU,NCTU,CGU,NKFUST,NCCU,KMU,NFU,CSMU,NTPU,PU,NCKU,NSYSU,NTNU,TKU,NTUB,NKNU,NPU,FJU,NCUT,NTHU,THU,NTUST,NTOU,YZU,KUAS,TCPA,TMU,NTUNHS,NCHU,NUTC,CMU,SCU,CYCU,NTU
000015,YZU,CYCU,NTUNHS,KMU,NCHU,TKU,NPU,THU,NCCU,KUAS,CSMU,NSYSU,FCU,NTUB,NTHU,TMU,NFU,CGU,NTUST,NKNU,NCTU,NUTC,FJU,NTNU,CMU,NTOU,TCPA,SCU,PU,NTPU,NCUT,NCKU,NTU,NKFUST
000016,NTU,CYCU,NCHU,FCU,NTUB,NTHU,TCPA,NTUST,NCUT,SCU,NKFUST,NKNU,CGU,NCCU,FJU,NFU,NTNU,KUAS,TKU,KMU,CSMU,NTPU,NCKU,NCTU,NSYSU,PU,CMU,NTUNHS,NPU,YZU,TMU,NTOU,NUTC,THU
